mature_miRNA,disease,potential_biomarker,miRNA_type,author,journal,title,year,method,description
hsa-miR-497,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-499-3p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-499-5p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-500a*,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-501-3p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-505,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-532-3p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-532-5p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-543,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-551b,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-574-3p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-584,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-629,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-675,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-7,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-744,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-885-5p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-9,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-92a,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-93,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-98,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-99a,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-99b,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-22,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-320a,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-423-5p,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-92b,chronic systolic heart failure,0,circulating,goren y et al.,eur j heart fail. 14(2):147-54,serum levels of micrornas in patients with heart failure.,2012,qrt-pcr,"elevated serum levels of specific micrornas: mir-423-5p, mir-320a, mir-22, and mir-92b, identify systolic heart failure patients and correlate with important clinical prognostic parameters."
hsa-miR-141,colorectal cancer (crc),1,circulating,cheng h et al.,plos one.6(3):e17745.,circulating plasma mir-141 is a novel biomarker for metastatic colon cancer and predicts poor prognosis.,2011,"mirvana paris rna isolation kit (ambion, austin, tx)|taqman microrna reverse transciption kit (applied biosystems, san diego, ca)",plasma mir-141 may represent a novel biomarker that complements carcinoembryonic antigen (cea) in detecting colon cancer with distant metastasis and high levels of mir-141 in plasma were associated with poor prognosis.
hsa-miR-21,colorectal cancer (crc),1,circulating,Wang B et al.,J Cancer Res Clin Oncol.,The expression and clinical significance of circulating microRNA-21 in serum of five solid tumors.,2012,"TRIzol LS Reagent (Invitrogen, Carlsbad, CA, SA)|LightCycler  480 Real-Time PCR System (Roche, USA)|FastStart Universal SYBR Green Master (Rox) mix kit (Roche, USA)","miR-21 was significantly overexpressed in human solid cancerous serum relative to normal control, and its sensitivity and specificity were significantlyhigher than the currently used tumor markers. High miR-21 expression was not correlated with gender, age, clinical stage, and lymph node metastasis status."
hsa-miR-601,colorectal cancer (crc),1,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-760,colorectal cancer (crc),1,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-18a,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-19a,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-19b,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-15b,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-29a,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-335,colorectal cancer (crc),1,circulating,GirÃƒÂ¡ldez MD et al.,Clin Gastroenterol Hepatol. pii: S1542-3565(12)015,Circulating MicroRNAs as Biomarkers of Colorectal Cancer: Results From a Genome-Wide Profiling and Validation Study.,2012,real-time quantitative rt-pcr,"patients with crc have significantly different patterns of mirna expression than healthy individuals. these patterns might be developed as biomarkers for crc, although they have limited value in identifying patients with premalignant neoplastic lesions."
hsa-miR-10a,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-22*,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-24,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-92a,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-125a-5p,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-141,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-150,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-188-3p,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-192,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-210,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-221,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-224*,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-376a,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-425*,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-495,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-572,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-720,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-let-7a,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-let-7e,colorectal cancer (crc),0,circulating,Wang Q et al.,PLoS One. 7(9):e44398.,Plasma miR-601 and miR-760 Are Novel Biomarkers for the Early Detection of Colorectal Cancer.,2012,qrt-pcr,"according to the results of mirna profiling performed on pooling plasma samples form 10 crc patients or 10 healthy controls, a panel of mirnas (hsa-mir-10a, -19a, -22*, -24, -92a, 125a-5p, -141, -150, -188-3p, -192, -210, -221, -224*, -376a, -425*, -495, -572, -601, -720, -760 and hsa-let-7a, -7e) were deregulated in crc plasma with fold changes >5. plasma mir-601 and mir-760 can potentially serve as promising non-invasive biomarkers for the early detection of crc."
hsa-miR-29a,colorectal liver metastasis (crlm),1,circulating,wang lg et al.,cancer epidemiol. 36(1):e61-7.,serum microrna-29a is a promising novel marker for early detection of colorectal liver metastasis.,2012,real-time rt-pcr,serum mir-29a was significantly higher in colorectal liver metastasis (crlm) patients than in crc patients.
hsa-miR-210,conventional renal cell cancer (crcc),1,circulating,Zhao A et al.,Exp Mol Pathol.  pii: S0014-4800(12)00152-9,Serum miR-210 as a novel biomarker for molecular diagnosis of clear cell renal cell carcinoma.,2012,real-time pcr,serum mir-210 may have a potential as a novel noninvasive biomarker for the detection of crcc.
hsa-miR-126,coronary artery disease,0,circulating,fichtlscherer s et al,circ res. 107(5):677-84.,circulating micrornas in patients with coronary artery disease.,2010,"mirna isolation kit (mirneasy kit, qiagen)|quantitative (q)pcr using taqman microrna assay kits (abi)","circulating levels of mir-126, mir-17, mir-92a, and the inflammation-associated mir-155 were significantly reduced in patients with coronary artery disease compared with healthy controls. Likewise, the smooth muscle-enriched mir-145 was significantly reduced. In contrast, cardiac muscle-enriched micrornas (mir-133a, mir-208a) tend to be higher in patients with coronary artery disease."
hsa-miR-133a,coronary artery disease,0,circulating,fichtlscherer s et al,circ res. 107(5):677-84.,circulating micrornas in patients with coronary artery disease.,2010,"mirna isolation kit (mirneasy kit, qiagen)|quantitative (q)pcr using taqman microrna assay kits (abi)","circulating levels of mir-126, mir-17, mir-92a, and the inflammation-associated mir-155 were significantly reduced in patients with coronary artery disease compared with healthy controls. Likewise, the smooth muscle-enriched mir-145 was significantly reduced. In contrast, cardiac muscle-enriched micrornas (mir-133a, mir-208a) tend to be higher in patients with coronary artery disease."
hsa-miR-145,coronary artery disease,0,circulating,fichtlscherer s et al,circ res. 107(5):677-84.,circulating micrornas in patients with coronary artery disease.,2010,"mirna isolation kit (mirneasy kit, qiagen)|quantitative (q)pcr using taqman microrna assay kits (abi)","circulating levels of mir-126, mir-17, mir-92a, and the inflammation-associated mir-155 were significantly reduced in patients with coronary artery disease compared with healthy controls. Likewise, the smooth muscle-enriched mir-145 was significantly reduced. In contrast, cardiac muscle-enriched micrornas (mir-133a, mir-208a) tend to be higher in patients with coronary artery disease."
hsa-miR-155,coronary artery disease,0,circulating,fichtlscherer s et al,circ res. 107(5):677-84.,circulating micrornas in patients with coronary artery disease.,2010,"mirna isolation kit (mirneasy kit, qiagen)|quantitative (q)pcr using taqman microrna assay kits (abi)","circulating levels of mir-126, mir-17, mir-92a, and the inflammation-associated mir-155 were significantly reduced in patients with coronary artery disease compared with healthy controls. Likewise, the smooth muscle-enriched mir-145 was significantly reduced. In contrast, cardiac muscle-enriched micrornas (mir-133a, mir-208a) tend to be higher in patients with coronary artery disease."
